id,fila,columna,lat,lon,pendiente_grados,ndvi,humedad,viento_u,viento_v,prob_ignicion
646bf81c-6fe3-4a08-bb72-382ae598c901,13,41,-14.009367,-68.930722,20.6626,0.3315,0.3838,0.3246,-0.2576,0.7127
11f2f2f0-d5c8-40a6-9218-2db6aff3073a,13,42,-14.009367,-68.926222,39.4637,0.3436,0.3838,0.3246,-0.2576,0.1862
458d3c23-656b-409b-a62b-c70cba3fafc7,13,43,-14.009367,-68.921722,16.7236,0.3543,0.3838,0.3246,-0.2576,0.055
d14f089b-6bb6-424e-867a-d3987e581fa4,13,44,-14.009367,-68.917222,9.7368,0.3609,0.3838,0.3246,-0.2576,0.0454
c6a76b4d-228d-4fba-90e0-469319b7d937,13,45,-14.009367,-68.912722,19.6106,0.3716,0.3838,0.3246,-0.2576,0.0908
9dfa71a4-9700-4ac9-b62e-16ab996c4f2c,13,46,-14.009367,-68.908222,23.3822,0.356,0.3838,0.3246,-0.2576,0.0404
96514e7a-9502-4218-b276-cdc003c30dd5,13,47,-14.009367,-68.903722,18.1966,0.3392,0.3838,0.3246,-0.2576,0.0397
4ce7900c-a84d-46be-9e2e-a316313f5005,13,48,-14.009367,-68.899222,28.9876,0.3598,0.3838,0.3246,-0.2576,0.0129
8b7c8d3b-d8be-4545-bd19-e78e38431047,13,49,-14.009367,-68.894722,30.9638,0.3749,0.3838,0.3246,-0.2576,0.0063
85bcfd58-55db-49b1-b929-ab814f05395b,13,50,-14.009367,-68.890222,23.0215,0.3495,0.3838,0.3246,-0.2576,0.0129
c1a6a9eb-9039-4267-8977-a9de9d3859de,13,51,-14.009367,-68.885722,26.6286,0.3222,0.3838,0.3246,-0.2576,0.0034
38718424-54e5-45bd-b2a3-ea42826dfbb1,13,52,-14.009367,-68.881222,19.29,0.3088,0.3838,0.3246,-0.2576,0.006
c5d083b3-02c3-4a52-aac5-793399e41319,13,53,-14.009367,-68.876722,18.9416,0.3344,0.3838,0.3246,-0.2576,0.0277
f1089945-129a-4fb9-a880-fe5b7e4ed484,13,54,-14.009367,-68.872222,9.4623,0.3318,0.3838,0.3246,-0.2576,0.0221
7ca8bb68-c5b0-4652-9a75-698e4fc79de0,13,55,-14.009367,-68.867722,25.1424,0.3246,0.3838,0.3246,-0.2576,0.0033
8dd848f9-ecae-4cf3-9bfd-5791c3e876f3,13,56,-14.009367,-68.863222,19.7879,0.3048,0.3838,0.3246,-0.2576,0.0044
73056283-8e4e-4355-be50-71804a329466,13,57,-14.009367,-68.858722,10.5554,0.3243,0.3838,0.3246,-0.2576,0.0109
0b692c53-2fb9-4379-a9d8-7ec73125a758,13,58,-14.009367,-68.854222,23.6284,0.3291,0.3838,0.3246,-0.2576,0.0039
efc06f76-5ba9-4e46-b9f5-578093e74862,13,59,-14.009367,-68.849722,16.7236,0.3106,0.3746,0.367,-0.275,0.0033
7967df0f-2ec4-4aa6-9918-80337ab5e18e,13,60,-14.009367,-68.845222,13.1663,0.3099,0.3746,0.367,-0.275,0.0085
f6ab4253-11f5-4664-a0e4-1a3359ad8270,13,61,-14.009367,-68.840722,20.9916,0.3235,0.3746,0.367,-0.275,0.0134
2095ec21-f3c5-49c7-89e6-38e88e544176,13,62,-14.009367,-68.836222,14.1555,0.3233,0.3746,0.367,-0.275,0.0078
8d190929-750f-46fd-b725-0357939395ac,13,63,-14.009367,-68.831722,15.0424,0.3352,0.3746,0.367,-0.275,0.0029
e73d4332-e624-414c-a348-59437bb07ef4,13,64,-14.009367,-68.827222,8.7357,0.3244,0.3746,0.367,-0.275,0.0021
a54d7869-35d2-4383-9bed-8013d1ef35a9,13,65,-14.009367,-68.822722,10.0468,0.2949,0.3746,0.367,-0.275,0.0028
